asset_name	image_arkid
NMNH-001-000002	http://n2t.net/ark:/65665/m3bb6c59ee-726e-4fa8-852d-dc705cc7eab5
NMNH-001-000003	http://n2t.net/ark:/65665/m30cecd3d0-7e62-4ce3-abba-a4f718f1b135
NMNH-002-000003	http://n2t.net/ark:/65665/m3f2b74874-c64b-4cc9-a90a-d66ecc2d6ebf
NMNH-003-000003	http://n2t.net/ark:/65665/m314589c2e-6d4b-477f-9438-e8e319955feb
NMNH-004-000002	http://n2t.net/ark:/65665/m37b4a6cec-3b22-468f-9fd3-b8f6bff48964
NMNH-09-15-2012-AM-Scleractinian-01	http://n2t.net/ark:/65665/m39a34b9ea-f7fe-4d17-b542-2476cfaa0f4a
NMNH-09-15-2012-AM-Scleractinian-02	http://n2t.net/ark:/65665/m32f0a87a7-bb49-46e4-8a31-2d2ae34f07c8
NMNH-09-15-2012-AM-Scleractinian-03	http://n2t.net/ark:/65665/m384c8898f-8098-4aaf-8cb1-5ba1b3f6f2e8
NMNH-09-15-2012-AM-Scleractinian-insitu-01	http://n2t.net/ark:/65665/m3b684833d-c86e-4c26-9fc4-18e58b8bcd80
NMNH-09-15-2012-AM-Scleractinian-insitu-02	http://n2t.net/ark:/65665/m32f5f0871-f0d8-4d7e-a75c-88a228702f0d
NMNH-09-15-2012-AM-Scleractinian-insitu-03	http://n2t.net/ark:/65665/m315361429-f939-42e3-81de-8572990f739c
NMNH-09-18-2012-AM-Acabariasp.-01	http://n2t.net/ark:/65665/m3bb0a33d6-553a-4d50-b603-c5ffc007c534
NMNH-09-19-2012-AM-Scleractinian1-01	http://n2t.net/ark:/65665/m3da392dfd-3e95-49f4-9e03-53129947c53c
NMNH-09-19-2012-AM-Scleractinian1-02	http://n2t.net/ark:/65665/m382a640ef-4842-4633-a75f-3a3dcac58d51
NMNH-09-19-2012-AM-Scleractinian1-insitu	http://n2t.net/ark:/65665/m34d3b4a2e-f2c7-4f0f-9cf6-417c01521aaa
NMNH-09-19-2012-AM-Scleractinian2-01	http://n2t.net/ark:/65665/m3b7414099-265c-43f6-8470-91ddac0cdcee
NMNH-09-19-2012-AM-Scleractinian2-02	http://n2t.net/ark:/65665/m3f0b6971d-7bf2-4cdb-9907-1ad0a6cf43e2
NMNH-09-19-2012-AM-Scleractinian2-03	http://n2t.net/ark:/65665/m31809cfc6-45f4-4bef-8ced-a405547b822d
NMNH-09-19-2012-AM-Scleractinian2-insitu-01	http://n2t.net/ark:/65665/m357c0bc5e-697a-48a2-b790-62247065670a
NMNH-09-19-2012-AM-Scleractinian2-insitu-02	http://n2t.net/ark:/65665/m34946762d-31ad-47c0-be57-abbddd08a986
NMNH-09-19-2012-AM-Scleractinian3-01	http://n2t.net/ark:/65665/m3af3416f8-36b8-41d9-b11f-fd784b02452a
NMNH-09-19-2012-AM-Scleractinian3-02	http://n2t.net/ark:/65665/m368f9f61f-6f1c-4910-b3a9-08af983bb6b2
NMNH-100x16xstagemicrometer001	http://n2t.net/ark:/65665/m3408da43c-a265-4aec-be87-045bc9014562
