width	height	arkid
182.0	250.0	m3bb6c59ee-726e-4fa8-852d-dc705cc7eab5
182.0	250.0	m30cecd3d0-7e62-4ce3-abba-a4f718f1b135
182.0	250.0	m3f2b74874-c64b-4cc9-a90a-d66ecc2d6ebf
182.0	250.0	m314589c2e-6d4b-477f-9438-e8e319955feb
182.0	250.0	m37b4a6cec-3b22-468f-9fd3-b8f6bff48964
249.0	166.0	m39a34b9ea-f7fe-4d17-b542-2476cfaa0f4a
249.0	166.0	m32f0a87a7-bb49-46e4-8a31-2d2ae34f07c8
166.0	249.0	m384c8898f-8098-4aaf-8cb1-5ba1b3f6f2e8
249.0	166.0	m3b684833d-c86e-4c26-9fc4-18e58b8bcd80
249.0	166.0	m32f5f0871-f0d8-4d7e-a75c-88a228702f0d
249.0	166.0	m315361429-f939-42e3-81de-8572990f739c
249.0	166.0	m3bb0a33d6-553a-4d50-b603-c5ffc007c534
249.0	166.0	m3da392dfd-3e95-49f4-9e03-53129947c53c
249.0	166.0	m382a640ef-4842-4633-a75f-3a3dcac58d51
249.0	166.0	m34d3b4a2e-f2c7-4f0f-9cf6-417c01521aaa
249.0	166.0	m3b7414099-265c-43f6-8470-91ddac0cdcee
249.0	166.0	m3f0b6971d-7bf2-4cdb-9907-1ad0a6cf43e2
249.0	166.0	m31809cfc6-45f4-4bef-8ced-a405547b822d
249.0	166.0	m357c0bc5e-697a-48a2-b790-62247065670a
249.0	166.0	m34946762d-31ad-47c0-be57-abbddd08a986
249.0	166.0	m3af3416f8-36b8-41d9-b11f-fd784b02452a
249.0	166.0	m368f9f61f-6f1c-4910-b3a9-08af983bb6b2
250.0	200.0	m3408da43c-a265-4aec-be87-045bc9014562
250.0	200.0	m3d6677cb0-d21e-4d78-ba96-b1e738ea86bd
230.0	250.0	m377da5e1f-7374-43e3-817d-93557ad23524
250.0	241.0	m34d9e8fc8-2d1a-4972-9a93-12870fb8bd63
188.0	250.0	m34e06d5f0-e6e7-43df-8e65-f0459c75fe69
188.0	250.0	m3f0c6bbbc-8d76-466b-bcbf-9c03716d5d60
250.0	140.0	m31419d166-31e1-46ae-989e-03d4e75eca8a
250.0	188.0	m3ba17a80b-f878-41ed-87c8-6ddfd147ff03
250.0	200.0	m316e750a8-8a15-4077-97a0-4fdb62a0708c
188.0	250.0	m3ae5eb582-2e02-41aa-954c-9db7727ce259
188.0	250.0	m34604ba58-9483-4ddc-bec7-81069a4f50d9
250.0	188.0	m3f7bd7df9-0510-44de-a41d-b6d4aadfbbb6
250.0	188.0	m38a3c7f5b-6be7-4fd2-9177-b460ef12d743
250.0	126.0	m3c83614f0-6407-46f4-9099-c162508d1b06
250.0	147.0	m3e9682cbd-0072-4c8b-9ea7-ee20d56bc282
250.0	148.0	m33c28d2b2-438a-45d8-8ff8-47dd98907022
250.0	151.0	m39cd3f8ac-d1a8-4c45-8857-65182c8bba04
250.0	149.0	m30d95e2dc-63ab-4c29-b061-a6e48faeb4fa
250.0	141.0	m305207301-2133-462d-9051-ad9b6353dfe5
249.0	153.0	m391a29a39-2175-4ad2-8955-704e39072513
250.0	152.0	m3fbf93e29-dedd-4317-8d56-0206d8475681
250.0	139.0	m3e8a9ae17-ead0-42dd-a3e5-401c4bfb9682
250.0	158.0	m3f3fb8e67-ca72-46a2-bafd-6ccc4b4787c7
250.0	221.0	m3231d4302-bb72-45b1-8585-9d9ad560e53b
250.0	159.0	m3acce8745-fd59-4fa7-9053-852350da1472
249.0	138.0	m3b425e138-f9b9-4082-8256-b04c8dc1e9b6
219.0	250.0	m346f592cb-8ce9-4e24-a669-bc9e1f469413
250.0	173.0	m3b4def4f7-3763-4b87-b21f-2a8d31e45697
249.0	250.0	m3b3ad1464-bc56-4987-9337-8c1aa6f7a9f8
250.0	211.0	m3091f9c91-aefe-4b9b-b4a4-25c20504b12e
243.0	250.0	m30413de1c-6cc1-4951-ab57-59ecdd1c90c6
225.0	250.0	m3997ac1a9-1ad1-472f-89bb-ec9f16628ccd
250.0	143.0	m31075d56f-ffc4-4741-846a-55420e473a14
249.0	181.0	m339c781cd-1d99-479f-b86f-e61687c38927
250.0	205.0	m3e3ac8e0c-6920-4e68-8ecc-33995a639ea2
250.0	195.0	m327083f76-1efa-425b-b788-2b79deb6a062
250.0	170.0	m3516079b9-35df-4b67-8c37-be08f783b030
250.0	249.0	m37f0b44af-e782-4bf7-a246-ab4bb469a33c
188.0	250.0	m340470b1b-995c-42e6-933e-5b972ae56b39
244.0	250.0	m3a721b3a0-fe6c-4e4b-9319-8e01e374266f
250.0	134.0	m34d65955f-9ddc-49b1-862e-ff663c35e1a3
250.0	110.0	m31c81663a-7777-43ec-a233-0a48df92da91
250.0	238.0	m348bc657e-d7f6-4b41-9390-40f53f7d4deb
250.0	188.0	m34a24e764-5d8f-411f-9b53-1b776ca48c2c
250.0	188.0	m3c33268f0-0f83-483e-8a2f-db2fd429113f
250.0	188.0	m34f7891da-ea8a-4dde-bde6-efe826741181
188.0	250.0	m3d8fc074c-279f-4788-b6b3-d2f09c6d200d
188.0	250.0	m36dca4b46-6231-4f87-84ea-fd711bbc87ce
249.0	159.0	m3ae881165-075f-4cf4-a139-b411dae8197e
250.0	163.0	m3767594f5-9dc8-4293-a723-9692a24ffeaa
250.0	187.0	m3ff3f5156-50d4-4418-90bb-1deef8a6144f
250.0	149.0	m3fd36bca1-2891-4434-b9b9-62d05cc5b58d
250.0	189.0	m36dc9d30b-d230-4a27-a234-540004a5582e
250.0	87.0	m3fff4d616-a1a2-44d4-bde3-5bc67236f2c1
233.0	250.0	m366e66fe5-a45e-445a-8ab4-1e91b8854adc
248.0	250.0	m37008c988-4670-4d79-8796-a3bdfd72ea01
249.0	83.0	m3cf25aaf8-f0d1-4ec8-8bf5-61a8c3c46682
250.0	158.0	m3260c9cff-61a1-4ffe-8e6f-2300b3c5efb3
250.0	169.0	m3449796af-3bb8-46b3-8039-36058f93504a
250.0	226.0	m3f85e11a9-9be1-4c52-aaa0-5e8d6c676788
