width	height	arkid
219.0	250.0	m30e8810a9-4c39-4ce9-b3aa-9ca914dd15ab
159.0	250.0	m377c5f683-f7aa-484a-af93-5ef49af4f34e
217.0	250.0	m38f5ec8f1-070b-46d6-8f08-41418fbcb4bc
249.0	200.0	m30cce4b7d-353a-4d1d-baa2-d15512304c29
250.0	223.0	m327b2321f-1e07-4b75-95b3-7b79dd3e375d
221.0	250.0	m35e59ca5f-4a31-4da0-9cb8-9930fb4c960b
237.0	250.0	m3fc3834bc-bbe3-4cc8-bc7d-b3ede36fecdb
204.0	250.0	m3eded4f39-f860-485d-9f8c-cb8679cf32c9
250.0	235.0	m32240c3b2-4af6-4339-831e-b3505076fb24
250.0	212.0	m391689f04-afc2-492c-8b37-0089d7c63a5c
250.0	240.0	m38c3ccf84-6d94-4abd-bdb4-957d6761f612
220.0	250.0	m32efb3b06-4537-47fe-a9b9-12195be16592
167.0	250.0	m3cf2b0fbf-5006-4a12-8450-b0c016f7745c
250.0	184.0	m3a261c4dd-2b03-4e02-8630-0fdb9cb636bd
212.0	250.0	m3137f208d-4736-47e4-ab48-7bd7ffdfc7c3
195.0	250.0	m30e21da45-8e16-473d-a27a-1ef3b2488282
237.0	250.0	m346d0de83-ef31-4d7c-9a51-a6dbf6ad637b
249.0	186.0	m34707388c-5332-457d-9ce7-08267b3487d9
213.0	250.0	m39a0598d1-d081-4056-958a-9dac2da3559f
226.0	249.0	m38fda5304-87b3-4d27-b94e-e22c6dd58e98
250.0	238.0	m308c154b6-8ad0-4125-b82b-68d3b7b94fdf
250.0	174.0	m391c21b20-2ea1-4c29-a6dc-3049f069290d
185.0	249.0	m304b01528-b41b-4326-b065-bf50ef385be9
250.0	239.0	m34e65733f-48a1-469c-a329-9217598a4571
197.0	250.0	m342dd0eeb-9b0d-4ed1-9bc3-2ffb815b6724
250.0	137.0	m3cac5fc08-fc84-4901-aa3f-a0aba61ed72c
243.0	250.0	m37244304e-d3d4-4247-92ac-9e4c9afdee29
250.0	234.0	m3d0338fa0-2181-4f70-b7f2-d64b640670c5
250.0	246.0	m344fb0e69-d07f-4253-bef9-b7eb267319fc
250.0	201.0	m3a7aca244-454f-4a92-aec9-7c0bb0296ccc
250.0	205.0	m3220a1717-1739-45ac-8268-ed4105e560ef
250.0	228.0	m3e6474e79-de93-412e-ac6a-2cba16be037b
210.0	250.0	m3d5f6df2d-e0ad-4041-9239-9a62e620f1af
190.0	250.0	m35c94e297-4a43-43d4-8a1c-66ec5e7b3aa0
239.0	249.0	m3bcd6cb7d-449c-4f01-899e-605eb112eee8
186.0	250.0	m3ef6e4c8a-dd11-4a46-a34e-c5c4a4dea32a
